"time","slipAngleFrontWheel","slipAngleRearLeftWheel","slipAngleRearRightWheel","forceFrontWheel[1,2]","forceRearLeftWheel[1,2]","forceRearRightWheel[1,2]"
0,0,0,0,0,0,0
0.1,-0.002709140521525723,3.813764335336019e-05,3.792640856245212e-05,-49.85754836193994,1.053130401701805,1.047326947708211
0.2,-0.003013864388566238,-0.0002177146534343342,-0.0002149504471277631,-55.45900941794675,-6.011937117028713,-5.935776595387964
0.3,-0.003298192880791861,-0.0004827783084523474,-0.0004732163449809856,-60.68368702241428,-13.33119089490381,-13.06753255398536
0.4,-0.003581542130034607,-0.0007501126609949587,-0.0007299713402697458,-65.8883936276509,-20.71275641750414,-20.15721182667489
0.5,-0.003863818579318156,-0.001019403358208317,-0.0009849193437053367,-71.07126257918819,-28.14772832323779,-27.19645737934919
0.6,-0.004144833491673662,-0.001290372586682758,-0.001237812705952589,-76.22868757827655,-35.62820325107274,-34.17825980717192
0.7,-0.004424404879715664,-0.001562723409032552,-0.00148839776951277,-81.35719608755974,-43.14574507182688,-41.09545536138656
0.8,-0.004702330174596485,-0.001836154179061917,-0.001736428922350416,-86.45294968141648,-50.69178558724283,-47.94111558739553
0.9,-0.004978378351236667,-0.002110347770674756,-0.001981658454354321,-91.51160157945414,-58.25732968099654,-54.70826845495272
1,-0.00525232171794924,-0.002384984953665659,-0.002223849329956083,-96.52888131060682,-65.83332765718011,-61.39025234283971
1.1,-0.005523911040999489,-0.002659741955561435,-0.002462772767838732,-101.5001438508598,-73.41061217392438,-67.9806517563989
1.2,-0.005792877863961449,-0.002934277516609512,-0.00269819616548004,-106.4203993412882,-80.97953920215997,-74.47295822820223
1.3,-0.006058977583507811,-0.003208314373636916,-0.002929958062719294,-111.2851137995372,-88.53223795488017,-80.86264511353379
1.4,-0.006321867955922933,-0.003481383246427293,-0.003157733293563124,-116.0880320973432,-96.05558296224473,-87.14070210190243
1.5,-0.006581106491360634,-0.003753144511959394,-0.003381328305280029,-120.8210146029679,-103.5400046930229,-93.30174397889891
1.6,-0.006836582058127503,-0.004023380905353459,-0.003600671234387654,-125.4820620309352,-110.9793525678096,-99.34377498924243
1.7,-0.007087923824501205,-0.00429163398193457,-0.003815484683809858,-130.0644328364063,-118.3608396965334,-105.2591485803455
1.8,-0.007334622960357003,-0.004557515425597395,-0.004025564881352209,-134.5589019475252,-125.6736560575969,-111.0422669801721
1.9,-0.007576345961764105,-0.004820560221467419,-0.004230653679565481,-138.9594968146194,-132.904914857528,-116.6860617348787
2,-0.007812792322189562,-0.005080829970110712,-0.004430965058355264,-143.2607751025766,-140.0561812916175,-122.1964404313777
2.1,-0.008043684247487153,-0.005337423580025358,-0.004625879937921595,-147.4578797159332,-147.1026817400334,-127.5564556888383
2.2,-0.008268319589266012,-0.005590248764392252,-0.004815495017549342,-151.5381686786309,-154.0418458281482,-132.7688335167633
2.3,-0.008486371717981113,-0.005838812775212319,-0.004999569104242349,-155.4958859459537,-160.8601518958302,-137.8270282162612
2.4,-0.008697451833071692,-0.006082799881377531,-0.005178022105961339,-159.3241852338712,-167.5489919751176,-142.7289489056419
2.5,-0.008901082580005932,-0.006321844689803238,-0.005350738947527739,-163.0146183674313,-174.0984044502391,-147.4715324172336
2.6,-0.009097003800961026,-0.006555686718726869,-0.005517700213363067,-166.5627109446901,-180.5013559679827,-152.0543663657834
2.7,-0.009284384784046492,-0.006783487384977591,-0.005678404941535824,-169.9537241917979,-186.7350645729224,-156.4638565879601
2.8,-0.009463353458000968,-0.007005792843788316,-0.005833522732317213,-173.1901604609918,-192.8145413570028,-160.7184488084399
2.9,-0.009633177100542848,-0.007221457516381614,-0.005982307460817824,-176.2591389232736,-198.7087455344008,-164.7978732300271
3,-0.009793443711358747,-0.007430472159603338,-0.006124967520172686,-179.1534853040154,-204.4176159295092,-168.7079683548097
3.1,-0.009943886827997092,-0.007632542060932091,-0.006261475382185805,-181.8687039246186,-209.9333564461527,-172.4481304250822
3.2,-0.01008382987994749,-0.007827083611627194,-0.006391565716486276,-184.3928457386575,-215.2402531935326,-176.0111960199976
3.3,-0.01021320745662767,-0.00801412080604553,-0.006515473638391026,-186.7251290369572,-220.3393869069482,-179.4038435588069
3.4,-0.01033148794161114,-0.008193202754733335,-0.006633043799515235,-188.8562171069226,-225.2186818709679,-182.6219018876479
3.5,-0.01043829130211817,-0.008363872141842773,-0.006744114802265028,-190.7796324266844,-229.8661117778503,-185.6611698572203
3.6,-0.01053355033528441,-0.008526179073717235,-0.0068489330370871,-192.4943270964391,-234.2832486218607,-188.528441030354
3.7,-0.01061676035310189,-0.008679773126535827,-0.006947414198213566,-193.9915522730423,-238.4609897055817,-191.2216081871216
3.8,-0.01068773904557798,-0.008824298692362457,-0.007039466271339336,-195.268219967939,-242.3899770922182,-193.7382614540869
3.9,-0.01074633122407212,-0.008959653153961258,-0.007125193024911933,-196.3217695168123,-246.067792913195,-196.0813821856211
4,-0.0107922829232623,-0.009085575025228368,-0.007204561829538564,-197.147794196948,-249.4876687412042,-198.2501921643408
4.1,-0.01082533053053487,-0.009201855712550184,-0.007277573587543899,-197.7417073313958,-252.644286259381,-200.2448361528247
4.2,-0.01084543424233915,-0.009308310880697723,-0.007344239321515757,-198.1029109943053,-255.5329857808438,-202.0657338674145
4.3,-0.01085253809448722,-0.00940483022024024,-0.007404615838135423,-198.2304423768798,-258.1510734087566,-203.7145274039817
4.4,-0.01084649180258347,-0.009491223083066108,-0.007458684410811441,-198.1216443634553,-260.4936905343969,-205.1908095118446
4.5,-0.01082739064756069,-0.009567406244165036,-0.007506498126363846,-197.7781664996206,-262.5587998071217,-206.4960804115374
