"time","slipAngleFrontWheel","slipAngleRearLeftWheel","slipAngleRearRightWheel","forceFrontWheel[1,2]","forceRearLeftWheel[1,2]","forceRearRightWheel[1,2]"
7.5,-0.02402275308112559,-0.03324517175104074,-0.02977252065339777,-424.3772405955081,-849.3039223714362,-772.73286910083
7.6,-0.02730971614685319,-0.03366593364955097,-0.03007519271809381,-475.7093564932846,-858.2607457891281,-779.5728019448372
7.7,-0.03396447011065387,-0.03423728369076376,-0.03050347782391757,-576.4618634523515,-870.3428702978322,-789.1931881821367
7.8,-0.07128622675714302,-0.03486451442070075,-0.03090973662220255,-859.1593196167729,-883.3571125288402,-798.3038010882204
7.9,-0.05139822468542665,-0.03745528610325641,-0.03287892878390087,-776.6643870381782,-935.891430748887,-841.4146987777735
8,-0.04307582740966712,-0.039817566688808,-0.03484553328276385,-693.2951005356209,-981.3305504889501,-883.0322372975412
8.1,-0.03846534296314615,-0.0401356899887691,-0.03517401956719109,-637.1685332373262,-987.2759633618518,-889.8326203720952
8.199999999999999,-0.03523225341290213,-0.03904800983992418,-0.03434618262263757,-594.1038158291353,-966.8355303873067,-872.590298623781
8.300000000000001,-0.03254310251408362,-0.03728647579701339,-0.03295207997456673,-556.1683902359316,-932.623176918125,-842.9626907861087
8.4,-0.03009907013013488,-0.03527317932816332,-0.03133761142230958,-520.1555793264743,-891.9257820234736,-807.754300642267
8.5,-0.02778716852209207,-0.03319447668071337,-0.02965643034636669,-484.8468533649055,-848.216973396886,-770.1153748044742
8.6,-0.02556070698341682,-0.03112007053946654,-0.02796571507833898,-449.7892353855384,-802.9883434755069,-731.3122925521402
8.699999999999999,-0.02339740137326338,-0.02907102136966959,-0.0262820181259176,-414.8156062459463,-756.8327541469295,-691.7770416227779
8.800000000000001,-0.02128446969218089,-0.02705196602887911,-0.0246081729542369,-379.8636009044346,-710.0091827800862,-651.6427284319241
8.9,-0.0192129110786935,-0.02506172140328704,-0.02294215276377015,-344.9043986215156,-662.639656333087,-610.9265674413442
9,-0.01717621140075752,-0.02309865204065517,-0.0212816957798619,-309.9310094179995,-614.8233527070686,-569.6344294313417
9.1,-0.01516830091710379,-0.02115989970728494,-0.01962351504107883,-274.9292969949071,-566.617126237264,-527.7410690261672
9.199999999999999,-0.0131844524314813,-0.01924349372720311,-0.01796521421375192,-239.8970498118942,-518.0880558791436,-485.2386674204856
9.300000000000001,-0.01122028987369473,-0.01734723828404419,-0.01630423874042316,-204.8294683623614,-469.2876187424147,-442.1116784466623
9.4,-0.00927213986842703,-0.01546954552485018,-0.01463865140351615,-169.7274666325116,-420.2744322424726,-398.3579387756556
9.5,-0.007336607016545722,-0.01360884786014145,-0.01296657676879376,-134.5917376720001,-371.1005178432316,-353.9753338957465
9.6,-0.005410578604827024,-0.01176367607064126,-0.01128626864237623,-99.42416669689445,-321.8144418694693,-308.964454852847
9.699999999999999,-0.003491094048977312,-0.009932825512812007,-0.009596267913639147,-64.22646136626982,-272.4664152392288,-263.3333920101989
9.800000000000001,-0.001575737408865584,-0.008115450896958672,-0.007895499269949645,-29.00833287629533,-223.1119038022544,-217.1012611455795
9.9,0.0003377180645059322,-0.00631078875695988,-0.00618300497401848,6.218187076469156,-173.8048638679825,-170.2916854206064
10,0.002251461850132398,-0.004518234683167849,-0.004458019969202469,41.4409030356295,-124.6002390858685,-122.9352358611047
10.1,0.004167261070393697,-0.00273731387214798,-0.002719945318814725,76.63977676795963,-75.55353338458654,-75.06913626031012
10.2,0.006086767528125522,-0.0009678019423591659,-0.0009684705581597677,111.7920839270801,-26.72447671007566,-26.74098227640759
10.3,0.008011470024715769,0.0007903271470246559,0.0007964715350614813,146.8711406097679,21.82420894574477,21.99225768287982
10.4,0.009942609702989831,0.00253705291678111,0.002574853672838018,181.8443628361856,70.03092140475245,71.06822455590664
10.5,0.01188131369820753,0.004272131126978432,0.004366372252973193,216.6754594635021,117.8302390412551,120.4141109202658
10.6,0.01382852744062101,0.005995136569232586,0.006170483957579704,251.3230072519002,165.1542177529211,169.9477822897758
10.7,0.01578499997166267,0.00770541639408306,0.007986351073380188,285.7399436506403,211.9311965666511,219.5764769711093
10.8,0.01775134019503601,0.009402304932453988,0.009813057562857679,319.8746070609531,258.0920134611987,269.2031332493117
10.9,0.01972804131438722,0.01108492717521057,0.01164940115386033,353.6709910274337,303.5647867348377,318.7211158842241
11,0.0217154840555908,0.01275199051567139,0.01349366569637118,387.0687992226756,348.2696909804968,368.0088361683765
11.1,0.02371368965821879,0.01440237593107713,0.01534423448842582,419.9994730384728,392.1355771317868,416.9471965563646
11.2,0.02572290059792988,0.01603450049466172,0.01719891117737465,452.3958964989678,435.0830002149923,465.4022775881515
11.3,0.0277429731921608,0.01764687901866103,0.01905550990573824,484.1824859721575,477.0399645599863,513.2422975489715
11.4,0.02977380414649008,0.0192374982756336,0.02091117364926567,515.2823904069493,517.9259343599925,560.3211959479873
11.5,0.03181500040205086,0.02080406858791378,0.02276263662306156,545.6126125214712,557.659498393927,606.4876007853219
11.6,0.0338664724864282,0.0223447098889576,0.02460695988143994,575.0929604903204,596.1760647094283,651.6045178538317
11.7,0.03592783118141021,0.02385671325194764,0.02644017538599842,603.6373127821757,633.3973217268343,695.5177593993841
11.8,0.03799888384416712,0.02533733726599718,0.02825814457178707,631.1608719086435,669.2521995839985,738.0796361015423
11.9,0.04007942309428705,0.02678361720696295,0.03005633920849281,657.5770217689004,703.6726504183063,779.1457793745263
12,0.04216890152563836,0.02819148620331153,0.03182884950083002,682.7936326456146,736.5740618451945,818.5559501425438
12.1,0.04426783060493837,0.02955813431804253,0.03357101088863267,706.7297434681625,767.9112604946174,856.1954442918192
12.2,0.04637642253663993,0.03087905655063452,0.03527607705693417,729.2977296502371,797.6098746471652,891.9234913040995
12.3,0.04849574411182717,0.03214996611762764,0.03693736472350906,750.4155227864518,825.6119741992761,925.6241603806444
12.4,0.05062667929592497,0.03336542912975145,0.03854669473628446,769.9938085809293,851.8458710704996,957.1765861789607
12.5,0.05277232047430646,0.03452057376381089,0.04009630861115382,787.9553663430592,876.2637752898797,986.4958566287082
12.6,0.05493666161778583,0.03560924682235431,0.04157675423828464,804.2158013986615,898.8019993273119,1013.493499688826
12.7,0.05712607453582977,0.03662483593729216,0.04297780019947207,818.6869767858722,919.3988098316329,1038.097651236714
12.8,0.05935067380254,0.03756004970498208,0.04428814662357087,831.2706260872926,937.9892988096582,1060.248614540211
12.9,0.06162713949033642,0.03840706180161438,0.04549554333788117,841.8471572204591,954.5071168127361,1079.900494898072
13,0.0639823802591277,0.03915609891259359,0.04658501954856723,850.2440504650633,968.8555423402884,1096.991379398633
13.1,0.06646538532403901,0.03979734188262513,0.0475409513676619,856.1825357361935,980.9422553406662,1111.47403474017
13.2,0.06917171512482734,0.0403178819490552,0.04834296690925475,859.1112598307503,990.6176883624152,1123.247117459225
13.3,0.07217342626947332,0.04069884206091151,0.04896224243881815,859.0116004106279,997.6201052906507,1132.098385912228
13.4,0.07527659598344315,0.04091988886637975,0.04937244797810043,857.9468408769056,1001.651884234306,1137.844939651019
13.5,0.07835407066886169,0.04099265560622611,0.04958920067950233,856.0837094874911,1002.973006727697,1140.843827655
13.6,0.0813069361232356,0.04094120667229773,0.0496432639914718,853.5780968883506,1002.036202348692,1141.588156671845
13.7,0.08403880929752199,0.0407873896324643,0.04956304450045424,850.6654917618002,999.2316993107796,1140.484569826095
13.8,0.08646037274061305,0.04055679252210795,0.04938177086321868,847.6295139747417,995.007835976539,1137.976688586935
13.9,0.08847475591815432,0.04027147983100211,0.04912880346819617,844.7936560582198,989.7486998439601,1134.446048031307
14,0.08997893454897189,0.03995303824982945,0.04883333281237903,842.4994671049709,983.8356523691881,1130.276968428915
14.1,0.204018903841654,0.03969198497373869,0.04828161984415812,601.3764960743737,978.9265172323641,1122.451841858561
14.2,0.0712766266624581,0.03739167020117276,0.04510317073224444,859.0563131653953,934.6339402504155,1073.596477724393
14.3,0.04958465079872587,0.03499991184255852,0.04193742250834218,761.0823924793397,886.1984273686531,1019.957197704837
14.4,0.1995626491003563,0.03307594406873349,0.03945149450762774,601.2948750637067,845.5972871116603,974.4996760193415
14.5,0.1361842557785266,0.03166084321679973,0.03764073753378186,725.5987974864049,814.8526906399289,939.6278868391722
14.6,0.03859584035205329,0.03062069788073195,0.03632393495882661,639.2252979526839,791.8017065817083,913.3685180054129
14.7,0.3537384607408062,0.02974441068229264,0.03525652331945735,601.4731693635181,772.1082190232967,891.4554505244816
14.8,0.02905920711362239,0.02917623931447015,0.0345615012328149,504.2063236859912,759.172283011456,877.1673361472641
14.9,0.07963054708911438,0.0286658271157422,0.03397097642405317,854.7176451303062,747.4864713688056,864.629618122455
15,0.4543272039072047,0.0282652239689966,0.03352775355910689,601.4681203595937,738.2507518506072,855.2390595483231
15.1,0.4105076676724063,0.02799154635458462,0.0332415434535837,601.4537657204594,731.9059837898374,849.1545842902447
15.2,0.1228803994024007,0.02779717731971502,0.03305882143924217,763.5587042020699,727.395986426107,845.1820867585196
15.3,0.0188946610050643,0.02767355090781704,0.03296864380358411,338.2926153096599,724.5028375871002,843.3855630126532
15.4,0.04132865138842758,0.02756623977704569,0.03291208353079793,669.9265470178032,721.9986878089745,842.1551232478627
15.5,0.04959560368365291,0.02753871418654814,0.03295308230861742,761.1667194172218,721.3630043264731,842.9670021111697
15.6,0.03190438004365177,0.02753624435314107,0.03303676772621275,546.9129746019772,721.301596614025,844.8340225891267
15.7,0.0303751020931782,0.02756905373888318,0.03317430348916466,524.2191826591088,722.0687593547914,847.7907227979158
15.8,0.02924846056507743,0.02764950028969771,0.03338271318192367,507.1571984762371,723.9469730666231,852.2533744902549
15.9,0.1843018967917497,0.02771949943379802,0.03361046341736063,609.2909986255856,725.6039746190683,856.9768579512195
16,0.04561340180842034,0.0280002215908499,0.03412128511830378,721.4643346997823,732.1187891612526,867.8541002213876
16.1,0.05269264140423111,0.02887353517988953,0.03568908837998286,787.3419081340363,752.2829782484562,900.3895473965241
16.2,0.04451242284154736,0.03024442278180976,0.0376194262941366,709.4197358470786,783.4027402797002,939.1505878713699
16.3,0.04071653998179081,0.03062363236121643,0.03813164713129402,665.391694813613,791.8975794202427,949.1822040005262
16.4,0.0385212238905699,0.03040592819701681,0.03781011250804017,637.8904448416092,787.0231069665729,942.9168429782413
16.5,0.0369122145848315,0.02992489954694856,0.03712165849525948,616.8449148576304,776.1981369026167,929.3412102448643
16.6,0.03551992504677046,0.0293371139810559,0.03628344083075152,598.0543102325591,762.8656305686634,912.5428095500375
16.7,0.03421130890177776,0.02870479151398468,0.03538188156661515,579.921543601812,748.3958147519575,894.1538708375444
16.8,0.03293917118882532,0.02805122967479722,0.03444985343072234,561.8726307714752,733.3043837930433,874.8027676379843
16.9,0.03168656870307218,0.02738451565644937,0.03349947954675115,543.7099722479207,717.7704671806441,854.7237227688563
17,0.03044802887034392,0.02670821127052154,0.03253657698668593,525.3844166320241,701.8732459064609,834.0324971438209
17.1,0.0292214062600173,0.02602301611488765,0.03156318642779369,506.8898491160938,685.6269832146972,812.7707462964148
17.2,0.02800570063920707,0.02532925162308296,0.03058078331416238,488.2345285856082,669.0376362927773,790.9709061548373
17.3,0.02680060362619876,0.02462734930460237,0.02959090561818571,469.4356555247421,652.1142022103952,768.6692398282973
17.4,0.02560554266024914,0.02391686413092352,0.02859399215647897,450.505186134596,634.8449767614139,745.8793997145742
17.5,0.02442021304484884,0.02319782957380252,0.02759102004823374,431.4580869458997,617.2298156389932,722.6284755297852
17.6,0.02324420245015222,0.0224700314486406,0.0265826318406656,412.3066193813212,599.2627319273324,698.9373228099129
