"time","slipAngleFrontWheel","slipAngleRearLeftWheel","slipAngleRearRightWheel","forceFrontWheel[1,2]","forceRearLeftWheel[1,2]","forceRearRightWheel[1,2]"
0,0,0,0,0,0,0
0.1,-0.005829884139192314,-0.0004589062903084956,-0.0004585666339142692,-107.0960869757673,-12.67187140570758,-12.66316301485542
0.2,-0.01207266258926492,-0.003238937190912272,-0.003230563932724668,-220.0940707014679,-89.37358866300285,-89.150533833011
0.3,-0.01952368362304261,-0.00872569917753715,-0.008682295254434584,-350.1965117263528,-239.699366542417,-238.5427938829079
0.4,-0.02842927522699757,-0.01619084192496916,-0.01606934713737881,-494.7775793125599,-439.136620568894,-436.0020406304457
0.5,-0.03901829669147448,-0.02484700498406885,-0.02459903459540559,-644.2381687086372,-657.3971495689115,-651.4608458591408
0.6,-0.05207479554610275,-0.03426353759532944,-0.03384181018122729,-782.2797622571348,-870.8234610009061,-861.9949647362083
0.7,-0.07115855934719498,-0.04420718745708364,-0.04357849915400025,-859.1713230995007,-1058.884000729018,-1048.386621078579
0.8,-0.09420714955483664,-0.05330476613137779,-0.05255119749909115,-834.889557730911,-1188.063718081153,-1179.081090873006
0.9,-0.2041352130305639,-0.05565755088729114,-0.05502601624808826,-601.4617105568155,-1213.688641536247,-1207.08075974485
1,-0.1076560665089026,-0.05008441599104097,-0.04966509462733822,-803.9843282051939,-1147.637195357711,-1141.84754109228
1.1,-0.2215602648976607,-0.04035775763002224,-0.04009557865678218,-601.4075414418147,-991.3479746940404,-986.4915916575611
1.2,-0.3027800221469151,-0.03203671695671049,-0.03183616047597329,-601.2522809734078,-823.0910299503888,-818.739597760221
1.3,-0.02469962844654606,-0.02841833730551378,-0.02821368536125601,-436.2524778678381,-741.7927026997171,-737.057363061004
1.4,-0.3599911819708,-0.02900993513837955,-0.02875935527759603,-601.4475916457415,-755.3309898857887,-749.6631983985591
1.5,-0.08155651133164409,-0.03158554750320664,-0.03128993948246783,-849.3111445333202,-813.207952286111,-806.6873657432484
1.6,-0.01770498460382269,-0.03395389829972824,-0.03363195799501603,-317.4050146430135,-864.3522892391948,-857.4653619607788
1.7,-0.1662906492747096,-0.03503406772103591,-0.03471043670139447,-641.9783265668237,-886.9495784909054,-880.1669775025362
1.8,-0.2468034167126154,-0.03479414024643543,-0.03448636099107276,-599.0459602009893,-881.9566808414805,-875.4894330266083
1.9,-0.2453391593849898,-0.03379512654114913,-0.03350708058817323,-598.6280495525596,-860.9717281751898,-854.8081535556503
2,-0.1718712087109169,-0.03271417728414014,-0.03244021845306037,-628.7502404346664,-837.8485239277019,-831.8625754025483
2.1,-0.03831458200790597,-0.03199011246133456,-0.03172175258961578,-624.0910768697491,-822.1230130105399,-816.1741674891748
2.2,-0.03102162350780264,-0.03171199938150915,-0.03144211540963538,-535.2789969238723,-816.0190078187785,-810.0186512042623
2.3,-0.135177639776203,-0.03172469527208224,-0.03144920219279922,-712.4059080458276,-816.2559930638945,-810.1838216335294
2.4,-0.4267122619622709,-0.03181309614836822,-0.03153164142070199,-601.230057503869,-818.1450026386937,-812.0233290912753
2.5,-0.5886492995413101,-0.03184411477664875,-0.03156146136909262,-601.2798816751906,-818.8145096440878,-812.6743322932466
2.6,-0.3960385940882272,-0.03177430763992693,-0.0314968090847343,-598.3176815177929,-817.3521060328227,-811.2261782552291
2.7,-0.01742293124309965,-0.0316006330288874,-0.03132875293073032,-311.1194520305368,-813.5855830480419,-807.5054704408494
2.8,-0.1907901865617775,-0.03135340685071818,-0.0310810533623022,-597.3451231771319,-808.0656812955557,-802.032267765564
2.9,-0.6075904261045197,-0.03111835673872501,-0.03084322395785142,-601.4747426839451,-802.7944666207137,-796.7698412229415
3,-0.5125561728252338,-0.03097686119882577,-0.0307055019855009,-598.9088388847515,-799.7188179420859,-793.6739446365127
3.1,-0.01744683998221675,-0.03087625575154639,-0.03060932951625011,-311.275924962421,-797.5545761793099,-791.512689430566
3.2,-0.3054335543359682,-0.03074019669127796,-0.03046947006820034,-599.1894436263748,-794.429005910675,-788.4008182838122
3.3,-0.6886480560126844,-0.03061732530627218,-0.03034355818778006,-601.2780180386587,-791.6346240988051,-785.5869822516513
3.4,-0.3074261617518678,-0.03054839153784831,-0.03028048521350943,-593.458035523887,-790.2118719764266,-784.1458915332115
3.5,-0.07572700602690806,-0.03043654994210648,-0.03016980473383361,-820.9711950807562,-787.6960946857834,-781.6511534814396
3.6,-0.635776995264777,-0.03027848195267381,-0.03000574231651119,-601.4105954729857,-784.0343771935796,-777.9899751395739
3.7,-0.5581426744000046,-0.03019484803582254,-0.02992545637450638,-598.1122321966275,-782.2312882573623,-776.1528128073985
3.8,-0.02286322476405757,-0.03011917386052929,-0.02985387349913414,-407.2692261730195,-780.5984266901102,-774.5251587106142
3.9,-0.5331621879279012,-0.02998125677354029,-0.02970961005320266,-600.8619282630067,-777.357037516272,-771.2888120198654
4,-0.6794664875033454,-0.02990460294087191,-0.02963319702264721,-599.7383890540092,-775.6514070909328,-769.539946379412
4.1,-0.02315680569325155,-0.02986521816472484,-0.02959912374922113,-402.3000616224111,-774.8781112443413,-768.7554871957374
4.2,-0.4444265858712049,-0.02975317016497546,-0.02948134009812742,-599.9837478247244,-772.2169043168745,-766.1000716583616
4.3,-0.7326634705337572,-0.02968105263890828,-0.02940721375772623,-600.4366097153561,-770.5706711554138,-764.4070512420445
4.4,-0.07173519464738777,-0.0296656298117305,-0.02939744943067151,-807.5674248254907,-770.3592976644504,-764.1710505570029
4.5,-0.3816195058746526,-0.02957776109151865,-0.02930438244401838,-599.0011136117781,-768.2517626533282,-762.0659697221716
